timestamp,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,platform_power,node_type
1699531988,174515.0,596650.6666666667,44225.666666666664,130289.33333333333,206.0,1
1699531991,0.0,0.0,0.0,0.0,204.0,1
1699531994,0.0,0.0,0.0,0.0,204.0,1
1699531997,0.0,0.0,0.0,0.0,202.0,1
1699532000,405162.3333333333,674474.6666666666,81237.66666666667,323918.3333333333,213.0,1
1699532003,24094.0,917504.0,0.0,24094.0,254.0,1
1699532006,0.0,917504.0,0.0,0.0,267.0,1
1699532009,0.0,0.0,0.0,0.0,286.0,1
1699532012,0.0,0.0,0.0,0.0,285.0,1
1699532015,0.0,0.0,0.0,0.0,291.0,1
1699532018,0.0,0.0,0.0,0.0,297.0,1
1699532021,0.0,0.0,0.0,0.0,304.0,1
1699532024,0.0,0.0,0.0,0.0,305.0,1
1699532027,0.0,0.0,0.0,0.0,304.0,1
1699532030,0.0,0.0,0.0,0.0,304.0,1
1699532033,0.0,0.0,0.0,0.0,297.0,1
1699532036,140403.33333333334,348160.0,49385.0,91018.33333333333,266.0,1
1699532039,66509.33333333333,348160.0,24888.0,41627.0,206.0,1
1699532042,0.0,0.0,0.0,0.0,205.0,1
1699532045,0.0,0.0,0.0,0.0,205.0,1
1699532048,336401.6666666666,1036288.0,88898.66666666666,247503.0,201.0,1
1699532051,17241436.333333332,4569770.666666667,4043024.6666666665,13198405.333333334,250.0,1
1699532054,0.0,0.0,0.0,0.0,298.0,1
1699532057,0.0,0.0,0.0,0.0,302.0,1
1699532060,0.0,0.0,0.0,0.0,307.0,1
1699532063,30045.333333333332,0.0,27423.333333333332,2622.0,317.0,1
1699532066,0.0,0.0,0.0,0.0,317.0,1
1699532069,0.0,0.0,0.0,0.0,318.0,1
1699532072,0.0,0.0,0.0,0.0,316.0,1
1699532075,0.0,0.0,0.0,0.0,315.0,1
1699532078,0.0,0.0,0.0,0.0,317.0,1
1699532081,1938.0,0.0,456.0,1482.0,321.0,1
1699532084,216330.0,0.0,15240.0,201096.0,212.0,1
1699532087,11142.0,0.0,2610.0,8526.0,201.0,1
1699532090,0.0,0.0,0.0,0.0,204.0,1
1699532093,0.0,0.0,0.0,0.0,204.0,1
1699532096,353334.0,589824.0,132090.0,221244.0,205.0,1
1699532099,0.0,0.0,0.0,0.0,254.0,1
1699532102,0.0,0.0,0.0,0.0,302.0,1
1699532105,0.0,0.0,0.0,0.0,315.0,1
1699532108,0.0,0.0,0.0,0.0,315.0,1
1699532111,0.0,0.0,0.0,0.0,317.0,1
1699532114,0.0,0.0,0.0,0.0,316.0,1
1699532117,0.0,0.0,0.0,0.0,318.0,1
1699532120,0.0,0.0,0.0,0.0,316.0,1
1699532123,37680.0,737280.0,22236.0,15450.0,312.0,1
1699532126,0.0,737280.0,0.0,0.0,317.0,1
1699532129,61056.0,737280.0,27714.0,33342.0,334.0,1
1699532132,152184.0,696320.0,38635.33333333333,113548.66666666666,206.0,1
1699532135,0.0,0.0,0.0,0.0,204.0,1
1699532138,0.0,0.0,0.0,0.0,205.0,1
1699532141,37383.0,162474.6666666667,3179.0,34198.333333333336,205.0,1
1699532144,17629115.0,3960832.0,4168576.6666666665,13460538.0,233.0,1
1699532147,0.0,0.0,0.0,0.0,241.0,1
1699532150,0.0,0.0,0.0,0.0,243.0,1
1699532153,0.0,0.0,0.0,0.0,245.0,1
1699532156,0.0,0.0,0.0,0.0,242.0,1
1699532159,0.0,0.0,0.0,0.0,245.0,1
1699532162,0.0,0.0,0.0,0.0,243.0,1
1699532165,0.0,0.0,0.0,0.0,251.0,1
1699532168,0.0,0.0,0.0,0.0,245.0,1
1699532171,0.0,0.0,0.0,0.0,251.0,1
1699532174,0.0,0.0,0.0,0.0,260.0,1
1699532177,0.0,0.0,0.0,0.0,253.0,1
1699532180,0.0,0.0,0.0,0.0,258.0,1
1699532183,24554.333333333332,830122.6666666666,0.0,24554.333333333332,255.0,1
1699532186,0.0,830122.6666666666,0.0,0.0,249.0,1
1699532189,0.0,0.0,0.0,0.0,253.0,1
1699532192,1722.6666666666667,0.0,0.0,1729.0,245.0,1
1699532195,211296.0,671744.0,9618.0,201672.0,204.0,1
1699532198,10530.0,671744.0,2472.0,8058.0,205.0,1
1699532201,0.0,0.0,0.0,0.0,205.0,1
1699532204,0.0,0.0,0.0,0.0,204.0,1
1699532207,395088.0,589824.0,211632.0,183462.0,204.0,1
1699532210,0.0,0.0,0.0,0.0,242.0,1
1699532213,0.0,0.0,0.0,0.0,260.0,1
1699532216,0.0,0.0,0.0,0.0,269.0,1
1699532219,0.0,0.0,0.0,0.0,285.0,1
1699532222,0.0,0.0,0.0,0.0,277.0,1
1699532225,0.0,0.0,0.0,0.0,279.0,1
1699532228,0.0,0.0,0.0,0.0,286.0,1
1699532231,0.0,0.0,0.0,0.0,282.0,1
1699532234,0.0,0.0,0.0,0.0,287.0,1
1699532237,0.0,0.0,0.0,0.0,287.0,1
1699532240,0.0,0.0,0.0,0.0,288.0,1
1699532243,23906.666666666664,819200.0,5620.0,18286.666666666668,304.0,1
1699532246,68006.66666666667,819200.0,17660.0,50340.0,281.0,1
1699532249,174540.33333333334,778240.0,23845.0,150695.3333333333,203.0,1
1699532252,1108.3333333333335,752298.6666666666,259.66666666666663,848.6666666666666,207.0,1
1699532255,0.0,752298.6666666666,0.0,0.0,204.0,1
1699532258,0.0,0.0,0.0,0.0,201.0,1
1699532261,383065.3333333333,726357.3333333334,115178.0,267887.3333333334,204.0,1
1699532264,0.0,0.0,0.0,0.0,289.0,1
1699532267,0.0,0.0,0.0,0.0,288.0,1
1699532270,0.0,0.0,0.0,0.0,328.0,1
1699532273,0.0,0.0,0.0,0.0,326.0,1
1699532276,0.0,0.0,0.0,0.0,334.0,1
1699532279,0.0,0.0,0.0,0.0,340.0,1
1699532282,0.0,0.0,0.0,0.0,344.0,1
1699532285,0.0,0.0,0.0,0.0,345.0,1
1699532288,0.0,0.0,0.0,0.0,345.0,1
1699532291,0.0,0.0,0.0,0.0,344.0,1
1699532294,0.0,0.0,0.0,0.0,307.0,1
1699532297,253700.0,245760.0,97606.66666666666,156093.33333333334,215.0,1
1699532300,0.0,245760.0,0.0,0.0,206.0,1
1699532303,14453.333333333332,595285.3333333334,3400.0,11060.0,204.0,1
1699532306,0.0,546133.3333333334,0.0,0.0,201.0,1
1699532309,405486.6666666666,709973.3333333333,143226.66666666666,262260.0,207.0,1
1699532312,0.0,0.0,0.0,0.0,299.0,1
1699532315,0.0,0.0,0.0,0.0,340.0,1
1699532318,0.0,0.0,0.0,0.0,339.0,1
1699532321,0.0,0.0,0.0,0.0,348.0,1
1699532324,0.0,0.0,0.0,0.0,352.0,1
1699532327,0.0,0.0,0.0,0.0,355.0,1
1699532330,0.0,0.0,0.0,0.0,352.0,1
1699532333,0.0,0.0,0.0,0.0,352.0,1
1699532336,0.0,0.0,0.0,0.0,352.0,1
1699532339,0.0,0.0,0.0,0.0,352.0,1
1699532342,0.0,0.0,0.0,0.0,325.0,1
1699532345,197817.6666666667,139264.0,25522.666666666664,172295.0,202.0,1
1699532348,9032.666666666668,139264.0,2125.0,6907.666666666666,205.0,1
1699532351,0.0,0.0,0.0,0.0,204.0,1
1699532354,0.0,0.0,0.0,0.0,204.0,1
1699532357,335602.6666666666,580266.6666666667,94378.33333333334,241218.6666666667,206.0,1
1699532360,0.0,0.0,0.0,0.0,309.0,1
1699532363,35080.33333333333,778240.0,0.0,35086.66666666667,345.0,1
1699532366,0.0,0.0,0.0,0.0,353.0,1
1699532369,0.0,0.0,0.0,0.0,353.0,1
1699532372,0.0,0.0,0.0,0.0,351.0,1
1699532375,0.0,0.0,0.0,0.0,350.0,1
1699532378,0.0,0.0,0.0,0.0,351.0,1
1699532381,0.0,0.0,0.0,0.0,351.0,1
1699532384,0.0,0.0,0.0,0.0,351.0,1
1699532387,0.0,0.0,0.0,0.0,353.0,1
1699532390,71129.66666666666,0.0,0.0,71123.33333333334,321.0,1
1699532393,157146.0,0.0,39870.0,117276.0,207.0,1
1699532396,0.0,0.0,0.0,0.0,204.0,1
1699532399,0.0,0.0,0.0,0.0,202.0,1
1699532402,65718.0,98304.0,3588.0,62136.0,206.0,1
1699532405,17749248.666666668,3977216.0,4258683.666666666,13490565.0,250.0,1
1699532408,0.0,0.0,0.0,0.0,264.0,1
1699532411,0.0,0.0,0.0,0.0,268.0,1
1699532414,0.0,0.0,0.0,0.0,266.0,1
1699532417,0.0,0.0,0.0,0.0,271.0,1
1699532420,0.0,0.0,0.0,0.0,269.0,1
1699532423,24446.666666666664,819200.0,5753.333333333334,18686.666666666668,269.0,1
1699532426,0.0,819200.0,0.0,0.0,270.0,1
1699532429,0.0,819200.0,0.0,0.0,278.0,1
1699532432,0.0,0.0,0.0,0.0,281.0,1
1699532435,0.0,0.0,0.0,0.0,272.0,1
1699532438,0.0,0.0,0.0,0.0,275.0,1
1699532441,1740.0,0.0,406.66666666666663,1333.3333333333335,272.0,1
1699532444,0.0,0.0,0.0,0.0,270.0,1
1699532447,219006.66666666666,103765.33333333333,42129.333333333336,176883.66666666666,217.0,1
1699532450,11235.333333333334,103765.33333333333,11235.333333333334,0.0,205.0,1
1699532453,0.0,0.0,0.0,0.0,205.0,1
1699532456,0.0,0.0,0.0,0.0,203.0,1
1699532459,402667.0,570709.3333333333,151962.0,250698.66666666666,207.0,1
1699532462,0.0,0.0,0.0,0.0,245.0,1
1699532465,0.0,0.0,0.0,0.0,297.0,1
1699532468,0.0,0.0,0.0,0.0,306.0,1
1699532471,0.0,0.0,0.0,0.0,308.0,1
1699532474,0.0,0.0,0.0,0.0,304.0,1
1699532477,0.0,0.0,0.0,0.0,307.0,1
1699532480,0.0,0.0,0.0,0.0,309.0,1
1699532483,0.0,0.0,0.0,0.0,315.0,1
1699532486,16134.0,24576.0,3804.0,12336.0,312.0,1
1699532489,0.0,0.0,0.0,0.0,314.0,1
1699532492,0.0,0.0,0.0,0.0,315.0,1
1699532495,0.0,0.0,0.0,0.0,312.0,1
1699532498,198174.6666666667,928426.6666666667,108346.66666666666,89828.0,214.0,1
1699532501,19618.0,928426.6666666667,0.0,19612.333333333336,209.0,1
1699532504,0.0,0.0,0.0,0.0,205.0,1
1699532507,0.0,0.0,0.0,0.0,203.0,1
1699532510,359873.0,533845.3333333334,45854.66666666667,314024.0,204.0,1
1699532513,0.0,0.0,0.0,0.0,329.0,1
1699532516,0.0,0.0,0.0,0.0,374.0,1
1699532519,0.0,0.0,0.0,0.0,379.0,1
