,timestamp,bpf_cpu_time_us,bpf_page_cache_hit,platform_power,node_type,id
352,1699527965,15509.666666666666,4.666666666666667,47.0,1.0,all containers
353,1699527968,7883.666666666667,12.0,41.0,1.0,all containers
354,1699527971,1412.3333333333333,3.0,3.0,1.0,all containers
355,1699527974,1411.0,5.666666666666667,3.0,1.0,all containers
356,1699527977,1621.0,1.3333333333333333,4.0,1.0,all containers
357,1699527980,1381.6666666666667,0.0,2.0,1.0,all containers
358,1699527983,12858.666666666666,24.333333333333336,27.0,1.0,all containers
359,1699527986,23795.333333333332,4.333333333333333,52.0,1.0,all containers
360,1699527989,23793.333333333336,0.0,52.0,1.0,all containers
361,1699527992,23842.666666666668,0.0,53.0,1.0,all containers
362,1699527995,23898.333333333336,7.333333333333333,57.0,1.0,all containers
363,1699527998,23803.0,0.0,55.0,1.0,all containers
364,1699528001,23862.666666666664,1.3333333333333333,54.0,1.0,all containers
365,1699528004,23860.333333333332,5.0,50.0,1.0,all containers
366,1699528007,23822.0,0.3333333333333333,49.0,1.0,all containers
367,1699528010,23849.666666666668,0.3333333333333333,52.0,1.0,all containers
368,1699528013,12970.333333333334,19.333333333333332,50.0,1.0,all containers
369,1699528016,1421.6666666666667,8.666666666666666,4.0,1.0,all containers
370,1699528019,1391.3333333333335,0.0,3.0,1.0,all containers
371,1699528022,1391.0,0.3333333333333333,2.0,1.0,all containers
372,1699528025,1402.6666666666667,5.0,7.0,1.0,all containers
373,1699528028,1223.6666666666665,24.0,10.0,1.0,all containers
374,1699528031,28689.0,0.0,43.0,1.0,all containers
375,1699528034,28622.666666666668,0.3333333333333333,38.0,1.0,all containers
376,1699528037,28639.333333333332,4.333333333333333,38.0,1.0,all containers
377,1699528040,28682.666666666668,0.0,39.0,1.0,all containers
378,1699528043,28501.666666666664,0.3333333333333333,38.0,1.0,all containers
379,1699528046,28607.0,4.333333333333333,37.0,1.0,all containers
380,1699528049,28933.333333333332,0.0,36.0,1.0,all containers
381,1699528052,28419.666666666664,0.0,38.0,1.0,all containers
382,1699528055,28608.0,3.0,37.0,1.0,all containers
383,1699528058,17490.333333333332,27.666666666666664,38.0,1.0,all containers
384,1699528061,1428.3333333333335,3.0,4.0,1.0,all containers
385,1699528064,1403.0,0.3333333333333333,0.0,1.0,all containers
386,1699528067,1395.0,4.666666666666667,3.0,1.0,all containers
387,1699528070,1376.0,0.0,2.0,1.0,all containers
388,1699528073,1308.6666666666667,24.333333333333332,4.0,1.0,all containers
389,1699528076,28625.333333333332,0.0,37.0,1.0,all containers
390,1699528079,28632.333333333332,4.333333333333333,37.0,1.0,all containers
391,1699528082,28569.333333333332,0.0,39.0,1.0,all containers
392,1699528085,28577.333333333332,0.3333333333333333,40.0,1.0,all containers
393,1699528088,28746.333333333332,4.333333333333333,35.0,1.0,all containers
394,1699528091,28771.333333333332,0.0,37.0,1.0,all containers
395,1699528094,28489.0,0.3333333333333333,39.0,1.0,all containers
396,1699528097,28710.0,0.0,39.0,1.0,all containers
397,1699528100,28588.333333333336,4.333333333333333,39.0,1.0,all containers
398,1699528103,18638.666666666668,23.666666666666664,43.0,1.0,all containers
399,1699528106,1412.3333333333333,3.0,3.0,1.0,all containers
400,1699528109,1398.3333333333333,4.666666666666667,1.0,1.0,all containers
401,1699528112,1389.0,0.0,2.0,1.0,all containers
402,1699528115,1434.3333333333333,3.0,4.0,1.0,all containers
403,1699528118,1439.6666666666665,24.0,19.0,1.0,all containers
404,1699528121,5196.0,4.333333333333333,36.0,1.0,all containers
405,1699528124,5217.666666666666,0.3333333333333333,38.0,1.0,all containers
406,1699528127,5177.333333333334,0.0,37.0,1.0,all containers
407,1699528130,5181.666666666667,4.666666666666667,44.0,1.0,all containers
408,1699528133,5208.666666666667,0.3333333333333333,39.0,1.0,all containers
409,1699528136,5167.0,0.0,38.0,1.0,all containers
410,1699528139,5193.333333333333,0.0,37.0,1.0,all containers
411,1699528142,5182.0,4.333333333333333,37.0,1.0,all containers
412,1699528145,5242.0,0.3333333333333333,36.0,1.0,all containers
413,1699528148,1389.3333333333333,2.0,33.0,1.0,all containers
414,1699528151,1421.3333333333335,7.666666666666667,3.0,1.0,all containers
415,1699528154,1400.0,0.3333333333333333,1.0,1.0,all containers
416,1699528157,1387.0,0.0,2.0,1.0,all containers
