,timestamp,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,platform_power,node_type,id
356,1699527977,0.0,0.0,0.0,0.0,4.0,1.0,all containers
357,1699527980,51433.0,1789952.0,51433.0,0.0,2.0,1.0,all containers
358,1699527983,14493870.666666666,5829973.333333334,3263196.333333333,11230667.666666666,27.0,1.0,all containers
359,1699527986,0.0,0.0,0.0,0.0,52.0,1.0,all containers
360,1699527989,0.0,0.0,0.0,0.0,52.0,1.0,all containers
361,1699527992,0.0,0.0,0.0,0.0,53.0,1.0,all containers
362,1699527995,0.0,0.0,0.0,0.0,57.0,1.0,all containers
363,1699527998,0.0,0.0,0.0,0.0,55.0,1.0,all containers
364,1699528001,0.0,0.0,0.0,0.0,54.0,1.0,all containers
365,1699528004,0.0,0.0,0.0,0.0,50.0,1.0,all containers
